FIPS_STATE,Property_Perc,creditscore_Perc,lenderid_Perc,Amortization_Perc,total
1,0.01,0.01,0.01,0.01,43
2,0,0,0,0,8
4,0.03,0.03,0.03,0.03,165
5,0.01,0.01,0.01,0.01,40
6,0.19,0.19,0.19,0.19,1067
8,0.03,0.03,0.03,0.03,146
9,0.02,0.02,0.02,0.02,90
10,0.01,0.01,0.01,0.01,34
11,0.01,0.01,0.01,0.01,65
12,0.1,0.1,0.1,0.1,583
13,0.02,0.02,0.02,0.02,115
15,0,0,0,0,14
16,0,0,0,0,23
17,0.02,0.02,0.02,0.02,130
18,0.02,0.02,0.02,0.02,102
19,0,0,0,0,24
20,0.01,0.01,0.01,0.01,34
21,0.01,0.01,0.01,0.01,36
22,0.01,0.01,0.01,0.01,43
23,0.01,0.01,0.01,0.01,30
24,0.03,0.03,0.03,0.03,157
25,0.03,0.03,0.03,0.03,148
26,0.03,0.03,0.03,0.03,196
27,0.01,0.01,0.01,0.01,51
28,0,0,0,0,12
29,0.01,0.01,0.01,0.01,66
30,0,0,0,0,13
31,0,0,0,0,10
32,0.02,0.02,0.02,0.02,125
33,0,0,0,0,19
34,0.02,0.02,0.02,0.02,142
35,0.01,0.01,0.01,0.01,32
36,0.03,0.03,0.03,0.03,161
37,0.04,0.04,0.04,0.04,226
38,0,0,0,0,2
39,0.03,0.03,0.03,0.03,186
40,0,0,0,0,26
41,0.02,0.02,0.02,0.02,106
42,0.04,0.04,0.04,0.04,246
44,0.01,0.01,0.01,0.01,39
45,0.01,0.01,0.01,0.01,44
46,0,0,0,0,3
47,0.01,0.01,0.01,0.01,66
48,0.09,0.09,0.09,0.09,518
49,0.01,0.01,0.01,0.01,36
50,0,0,0,0,4
51,0.02,0.02,0.02,0.02,105
53,0.02,0.02,0.02,0.02,137
54,0,0,0,0,14
55,0.01,0.01,0.01,0.01,60
56,0,0,0,0,4
72,0,0,0,0,2